team_number,team_name,round,player_name,ownership_pct
1,BROWN,1,Scottie Scheffler,75
1,BROWN,2,Justin Rose,
1,BROWN,3,Shane Lowry,
1,BROWN,4,Tony Finau,
1,BROWN,5,Ryan Gerard,
1,BROWN,6,Brian Campbell,
1,BROWN,7,Marco Penge,
1,BROWN,8,Jhonattan Vegas,
2,BURRELL,1,Tommy Fleetwood,
2,BURRELL,2,Chris Gotterup,
2,BURRELL,3,Sungjae Im,
2,BURRELL,4,Jason Day,
2,BURRELL,5,Sami Valimaki,
2,BURRELL,6,Daniel Berger,
2,BURRELL,7,Eric Cole,
2,BURRELL,8,Austin Eckroat,
3,POCZIK,1,Xander Schauffele,
3,POCZIK,2,Harris English,
3,POCZIK,3,Alex Noren,
3,POCZIK,4,Jake Knapp,
3,POCZIK,5,Johnny Keefer,
3,POCZIK,6,Nicolai Hojgaard,
3,POCZIK,7,Billy Horschel,
3,POCZIK,8,David Ford,
4,KANHAM,1,Rory McIlroy,
4,KANHAM,2,Keegan Bradley,
4,KANHAM,3,Aaron Rai,
4,KANHAM,4,J.T. Poston,
4,KANHAM,5,Christiaan Bezuidenhout,
4,KANHAM,6,Lucas Glover,
4,KANHAM,7,Will Zalatoris,
4,KANHAM,8,Adam Scott,
5,ROSEH2O,1,Ben Griffin,
5,ROSEH2O,2,Corey Conners,
5,ROSEH2O,3,Wyndham Clark,
5,ROSEH2O,4,Brian Harman,
5,ROSEH2O,5,Nico Echavarria,
5,ROSEH2O,6,Chris Kirk,
5,ROSEH2O,7,Bryson DeChambeau,
5,ROSEH2O,8,Patrick Rodgers,
6,KIRK,1,Robert MacIntyre,
6,KIRK,2,Maverick McNealy,
6,KIRK,3,Nick Taylor,
6,KIRK,4,Jacob Bridgeman,
6,KIRK,5,Ryan Fox,
6,KIRK,6,Jordan Shipley,
6,KIRK,7,Alex Smalley,
6,KIRK,8,Mackenzie Hughes,
7,WOMBLE,1,Scottie Scheffler,25
7,WOMBLE,2,Matt Fitzpatrick,
7,WOMBLE,3,Michael Thorbjornsen,
7,WOMBLE,4,Rasmus Hojgaard,
7,WOMBLE,5,Rickie Fowler,
7,WOMBLE,6,Kristoffer Reitan,
7,WOMBLE,7,Rasmus Neergaard-Petersen,
7,WOMBLE,8,Thorbjorn Olesen,
8,BHCP,1,Collin Morikawa,
8,BHCP,2,Hideki Matsuyama,
8,BHCP,3,Taylor Pendrith,
8,BHCP,4,Michael Brennan,
8,BHCP,5,Aldrich Potgieter,
8,BHCP,6,Max Homa,
8,BHCP,7,Davis Thompson,
8,BHCP,8,Joe Highsmith,
9,BLAU,1,Russell Henley,
9,BLAU,2,Viktor Hovland,
9,BLAU,3,Andrew Novak,
9,BLAU,4,Max Greyserman,
9,BLAU,5,Byeong Hun An,
9,BLAU,6,Thomas Detry,
9,BLAU,7,Nick Dunlap,
9,BLAU,8,Jackson Suber,
10,ROWLY,1,Justin Thomas,
10,ROWLY,2,J.J. Spaun,
10,ROWLY,3,Luke Clanton,
10,ROWLY,4,Min Woo Lee,
10,ROWLY,5,Jordan Spieth,
10,ROWLY,6,Sahith Theegala,
10,ROWLY,7,Tom Kim,
10,ROWLY,8,Pierceson Coody,
11,PAYRAY,1,Patrick Cantlay,
11,PAYRAY,2,Sam Burns,
11,PAYRAY,3,Akshay Bhatia,
11,PAYRAY,4,Si Woo Kim,
11,PAYRAY,5,Garrick Higgo,
11,PAYRAY,6,Stephan Jaeger,
11,PAYRAY,7,Emiliano Grillo,
11,PAYRAY,8,Austin Smotherman,
12,GALBRAITH,1,Cameron Young,
12,GALBRAITH,2,Ludvig Aberg,
12,GALBRAITH,3,Michael Kim,
12,GALBRAITH,4,Matt McCarty,
12,GALBRAITH,5,Tom Hoge,
12,GALBRAITH,6,Denny McCarthy,
12,GALBRAITH,7,Bud Cauley,
12,GALBRAITH,8,Max McGreevy,
13,OBAZ,1,Sepp Straka,
13,OBAZ,2,Rico Hoey,
13,OBAZ,3,Harry Hall,
13,OBAZ,4,Kurt Kitayama,
13,OBAZ,5,Sam Stevens,
13,OBAZ,6,Vince Whaley,
13,OBAZ,7,Matti Schmid,
13,OBAZ,8,Patrick Fishburn,
